 "Spannung in V", "Strom in A", "Durchmesser in cm"
125.7,1,8.4
125.7,1.1,7.7
125.7,1.200,7.5
125.7,1.295,6.9
125.7,1.4,6.7
125.7,1.497,6.3
125.7,1.598,5.7
125.7,1.7,5.6
125.7,1.801,5.4
125.7,2.004,4.3
250,1.005,5
250,1.298,11.15
250,1.410,10.4
250,1.498,9.8
250,1.599,9.05
250,1.7,8.6
250,1.797,7.8
250,2, 7.2
