Zeit t / s;Frequenz f / Hz;Spannung U_B1 / V;Weg &b_A1 / rad;FFT fft / rad
0;0;-0,0899999999999999;0;0,0365519440104506
0,10065175;0,00488277328089658;-0,0899999999999999;0;0,0411430761354779
0,200183;0,00976554656179316;-0,0899999999999999;0;0,0205506768397633
0,30076025;0,0146483198426897;-0,17;0;0,00531626282084276
0,400083;0,0195310931235863;-0,325;0;0,0013162939870626
0,50037175;0,0244138664044829;-0,445;0;0,000793267827515208
0,59999525;0,0292966396853795;-0,485;-0,01;0,000782966054509937
0,69999475;0,0341794129662761;-0,48;-0,02;0,000479679427313944
0,80016225;0,0390621862471726;-0,42;-0,03;0,000440574113630672
0,8992845;0,0439449595280692;-0,265;-0,04;0,000600456452001821
1,0011595;0,0488277328089658;-0,0750000000000002;-0,05;0,000464840983976614
1,10021825;0,0537105060898624;0,125;-0,06;0,000537211207472552
1,200991;0,058593279370759;0,32;-0,05;0,000616711698739702
1,30063825;0,0634760526516556;0,47;-0,03;0,000693928111683239
1,4003245;0,0683588259325521;0,555;0;0,000686908782373576
1,5014475;0,0732415992134487;0,565;0,03;0,000396747831829992
1,59979475;0,0781243724943453;0,565;0,07;0,000298336946760445
1,69988675;0,0830071457752419;0,435;0,11;0,000256605356235719
1,80037825;0,0878899190561385;0,25;0,14;0,000329135804498464
1,900483;0,092772692337035;0,0499999999999998;0,16;0,000368513396822283
2,00030675;0,0976554656179316;-0,15;0,17;0,000356233870615255
2,10123825;0,102538238898828;-0,315;0,16;0,00036773938154359
2,19994;0,107421012179725;-0,44;0,12;0,000267796125185301
2,30034025;0,112303785460621;-0,485;0,08;0,000352521306579564
2,39963825;0,117186558741518;-0,48;0,02;0,000261749491232251
2,500003;0,122069332022415;-0,425;-0,05;0,000242330578215625
2,60002225;0,126952105303311;-0,275;-0,11;0,000241124976093914
2,700079;0,131834878584208;-0,085;-0,17;0,000273594525553367
2,80053175;0,136717651865104;0,12;-0,2;0,000311220314872573
2,899693;0,141600425146001;0,31;-0,21;0,000289670277924414
2,99958225;0,146483198426897;0,46;-0,19;0,000380577676439405
3,1004195;0,151365971707794;0,555;-0,14;0,000429133831013034
3,19960225;0,156248744988691;0,57;-0,07;0,000405367982695757
3,29996225;0,161131518269587;0,56;0,01;0,000340309307861567
3,40077825;0,166014291550484;0,44;0,1;0,000394924139111513
3,4999645;0,17089706483138;0,265;0,18;0,000471963639603345
3,600931;0,175779838112277;0,0550000000000002;0,25;0,000489809010504085
3,700733;0,180662611393173;-0,145;0,29;0,000476408926917673
3,80064375;0,18554538467407;-0,32;0,3;0,000363459274657475
3,89988025;0,190428157954967;-0,43;0,28;0,000411425950976587
4,00040225;0,195310931235863;-0,485;0,22;0,000496631349942603
4,100343;0,20019370451676;-0,485;0,14;0,000558737146546186
4,20125475;0,205076477797656;-0,425;0,03;0,000608811212441044
4,29955675;0,209959251078553;-0,285;-0,07;0,000588105657480477
4,40045825;0,21484202435945;-0,0950000000000002;-0,18;0,000585247144985438
4,49988225;0,219724797640346;0,11;-0,26;0,000651144640857324
4,6003985;0,224607570921243;0,305;-0,3;0,000541225995393074
4,70068325;0,229490344202139;0,45;-0,32;0,000416495129652477
4,79980225;0,234373117483036;0,545;-0,29;0,000336823939929116
4,89999825;0,239255890763932;0,57;-0,22;0,000387640714993369
5,00014125;0,244138664044829;0,56;-0,12;0,000520458412329488
5,09893425;0,249021437325726;0,445;0;0,000417876898546434
5,20055425;0,253904210606622;0,27;0,12;0,00033777059864461
5,29984425;0,258786983887519;0,0649999999999999;0,23;0,000241525893762173
5,40051825;0,263669757168415;-0,135;0,32;0,000325069080003606
5,50051825;0,268552530449312;-0,305;0,38;0,000240609186504959
5,59951825;0,273435303730209;-0,425;0,38;0,000349880190716872
5,7003;0,278318077011105;-0,485;0,35;0,000436177251983226
5,800083;0,283200850292002;-0,485;0,28;0,000511958250609709
5,9003595;0,288083623572898;-0,435;0,17;0,000637688183903794
5,99969475;0,292966396853795;-0,295;0,04;0,000436004838464258
6,0999595;0,297849170134691;-0,105;-0,09;0,000376660678165967
6,20039825;0,302731943415588;0,0950000000000002;-0,21;0,000305033120341456
6,299639;0,307614716696485;0,29;-0,3;0,000476452642375972
6,40008225;0,312497489977381;0,445;-0,36;0,000584277836256369
6,50011825;0,317380263258278;0,545;-0,37;0,000471495253479013
6,60073475;0,322263036539174;0,57;-0,34;0,000443804533756008
6,7003995;0,327145809820071;0,56;-0,26;0,000497477633988887
6,79960225;0,332028583100968;0,46;-0,14;0,000597954678774079
