Zeit t / s;Frequenz f / Hz;Spannung U_B1 / V;Weg &b_A1 / rad;FFT fft / rad
0;0;0,255;0;0,0716868641289213
0,101039;0,00488273878806584;0,245;0;0,085328974935131
0,20045675;0,00976547757613168;0,27;0;0,0463598638141316
0,2994775;0,0146482163641975;0,375;0;0,015987447805717
0,4000075;0,0195309551522634;0,47;0;0,00283580484417822
0,50031275;0,0244136939403292;0,54;0;0,00208242935252327
0,60017475;0,029296432728395;0,565;0,01;0,00141144680264828
0,69981325;0,0341791715164609;0,57;0,01;0,00104711478960078
0,80042625;0,0390619103045267;0,565;0,02;0,00109652583424526
0,900011;0,0439446490925925;0,525;0,03;0,000853430501298408
1,0004285;0,0488273878806584;0,425;0,04;0,00105299058447454
1,10015175;0,0537101266687242;0,3;0,05;0,000633294103749685
1,19915275;0,0585928654567901;0,17;0,05;0,000888583496184248
1,3001675;0,0634756042448559;0,0300000000000002;0,04;0,000738378671609827
1,4001475;0,0683583430329217;-0,105;0,02;0,000807153782403538
1,49998925;0,0732410818209876;-0,23;0;0,000437074256540493
1,60087075;0,0781238206090534;-0,34;-0,03;0,00053462380389028
1,69994875;0,0830065593971192;-0,415;-0,07;0,000600377000825254
1,8001555;0,0878892981851851;-0,47;-0,1;0,000820144034764211
1,90015625;0,0927720369732509;-0,485;-0,13;0,000589416177516268
2,0001575;0,0976547757613168;-0,48;-0,16;0,000586190190962973
2,100034;0,102537514549383;-0,475;-0,18;0,00043694392162481
2,200899;0,107420253337448;-0,405;-0,19;0,000619777724118132
2,302739;0,112302992125514;-0,3;-0,19;0,00056334392585736
2,4005;0,11718573091358;-0,175;-0,18;0,000713083857171568
2,4996155;0,122068469701646;-0,04;-0,15;0,000525859979507092
2,59982;0,126951208489712;0,0950000000000002;-0,11;0,000581234374114084
2,69989575;0,131833947277778;0,22;-0,07;0,000466839394214525
2,80065075;0,136716686065843;0,345;-0,01;0,000650320338490841
2,89972;0,141599424853909;0,445;0,04;0,000472916527032163
2,99968825;0,146482163641975;0,52;0,09;0,00039160631683176
3,09961075;0,151364902430041;0,565;0,13;0,000344383517757546
3,199709;0,156247641218107;0,575;0,16;0,000513560194270919
3,29976575;0,161130380006173;0,57;0,17;0,000580556475358202
3,40043075;0,166013118794238;0,54;0,17;0,000686649469970968
3,4999575;0,170895857582304;0,46;0,16;0,000627363750240936
3,60055675;0,17577859637037;0,33;0,13;0,000646747189335281
3,700009;0,180661335158436;0,205;0,08;0,000490150685370083
3,79983075;0,185544073946502;0,0649999999999999;0,03;0,000552850393201574
3,9008135;0,190426812734568;-0,0750000000000002;-0,03;0,000552898355416939
4,00053625;0,195309551522634;-0,205;-0,1;0,000649723976218861
4,09985275;0,200192290310699;-0,315;-0,15;0,000591127600283981
4,2011175;0,205075029098765;-0,4;-0,2;0,000508888184966839
4,300498;0,209957767886831;-0,46;-0,23;0,00061696386664589
4,39951075;0,214840506674897;-0,485;-0,25;0,00073583022851016
4,499639;0,219723245462963;-0,485;-0,25;0,000803307158179825
4,6015065;0,224605984251029;-0,475;-0,24;0,000634097467268133
4,70036575;0,229488723039094;-0,425;-0,21;0,000592419177810581
4,7998775;0,23437146182716;-0,33;-0,17;0,000660623113314311
4,9003335;0,239254200615226;-0,215;-0,11;0,000652924610700221
5,0008865;0,244136939403292;-0,0800000000000001;-0,05;0,000599410822740639
5,1000535;0,249019678191358;0,0600000000000001;0,01;0,000556187162279853
5,2004065;0,253902416979424;0,195;0,05;0,000574155235106775
5,29952675;0,258785155767489;0,32;0,1;0,00063032866500476
5,4003785;0,263667894555555;0,425;0,13;0,000638784298777351
5,49978;0,268550633343621;0,51;0,15;0,000798877551146785
5,60040575;0,273433372131687;0,555;0,16;0,000783076793357357
5,69990825;0,278316110919753;0,575;0,15;0,000813677461965006
5,80075875;0,283198849707819;0,565;0,13;0,000601052821601287
5,8999775;0,288081588495884;0,555;0,1;0,000802223335571142
6,00078825;0,29296432728395;0,475;0,06;0,000839246864034032
6,10123175;0,297847066072016;0,365;0,01;0,000990452047487674
6,200159;0,302729804860082;0,24;-0,03;0,000684093648068937
6,300154;0,307612543648148;0,1;-0,07;0,000902808326976607
6,4011535;0,312495282436214;-0,0350000000000001;-0,11;0,000872092497371754
6,50147575;0,317378021224279;-0,17;-0,14;0,00139323029100091
6,5998285;0,322260760012345;-0,285;-0,15;0,00130525096418311
6,70069075;0,327143498800411;-0,38;-0,17;0,00142493028631559
6,80071875;0,332026237588477;-0,445;-0,17;0,000990129117216908
6,90033625;0,336908976376543;-0,485;-0,16;0,00155909139813715
6,9994065;0,341791715164609;-0,485;-0,15;0,00148678596825958
7,10023875;0,346674453952674;-0,475;-0,13;0,00207872852424666
7,20111675;0,35155719274074;-0,445;-0,11;0,00116836169809964
7,301054;0,356439931528806;-0,355;-0,08;0,00196044414747427
7,400152;0,361322670316872;-0,245;-0,05;0,00179979395343849
7,50089475;0,366205409104938;-0,11;-0,03;0,00336375522475711
7,6008875;0,371088147893004;0,0249999999999999;-0,01;0,00480064095100226
7,70174925;0,375970886681069;0,16;0,01;0,00771178411380863
7,79982825;0,380853625469135;0,29;0,02;0,0216369316527379
7,90090925;0,385736364257201;0,4;0,04;0,0737418946962595
8,00026925;0,390619103045267;0,49;0,05;0,156095824489704
8,100759;0,395501841833333;0,55;0,05;0,222082200537298
