Zeit t / s;Frequenz f / Hz;Spannung U_B1 / V;Weg &b_A1 / rad;FFT fft / rad
0;0;-0,0600000000000001;0;0,0123433345790513
0,100586;0,00976536066822913;-0,0600000000000001;0;0,0125303218816305
0,201743499999999;0,0195307213364583;-0,0550000000000002;0;0,00411125187920691
0,301434999999998;0,0292960820046874;-0,0600000000000001;0;0,000537257218595155
0,399663999999998;0,0390614426729165;-0,0600000000000001;0;0,000504527566344457
0,499642249999997;0,0488268033411456;-0,0550000000000002;0;0,000487280952618112
0,600376749999999;0,0585921640093748;-0,0550000000000002;0;0,000397705932566693
0,700383499999997;0,0683575246776039;-0,0600000000000001;0;0,000314102731807784
0,801323;0,078122885345833;-0,0550000000000002;0;0,000233017758153151
0,901416749999999;0,0878882460140621;-0,0550000000000002;0;0,000262829841126781
1,00076225;0,0976536066822913;-0,0600000000000001;0;0,00039919374274765
1,09976175;0,10741896735052;-0,0499999999999998;0;0,000408875548553259
1,1997835;0,11718432801875;0,0350000000000001;0;0,000534527646337014
1,3003645;0,126949688686979;0,135;0;0,00038005197298709
1,400686;0,136715049355208;0,235;0;0,000551968792607951
1,50000175;0,146480410023437;0,325;0,01;0,000448974552991349
1,5999835;0,156245770691666;0,405;0,01;0,000531117021061448
1,6998635;0,166011131359895;0,475;0,03;0,000548141321175484
1,80035975;0,175776492028124;0,525;0,04;0,000718882958115969
1,900944;0,185541852696353;0,56;0,05;0,000677614663951262
2,00058475;0,195307213364583;0,575;0,07;0,00047058926887127
2,0999925;0,205072574032812;0,57;0,09;0,000609639552157519
2,20055425;0,214837934701041;0,565;0,1;0,000898121925290495
2,30146225;0,22460329536927;0,555;0,11;0,00148966579848502
2,3993725;0,234368656037499;0,5;0,11;0,00151073301463148
2,5009945;0,244134016705728;0,415;0,11;0,00164410566268529
2,5998975;0,253899377373957;0,33;0,09;0,00185087534668144
2,70009675;0,263664738042186;0,235;0,08;0,0026835585785745
2,80039175;0,273430098710416;0,13;0,06;0,0107059336905917
2,9014215;0,283195459378645;0,0249999999999999;0,04;0,0573289989123698
3,000263;0,292960820046874;-0,0800000000000001;0,01;0,0968132315764781
3,10082025;0,302726180715103;-0,175;-0,01;0,0917544073413033
3,200566;0,312491541383332;-0,26;-0,04;0,0447589352922148
3,30041675;0,322256902051561;-0,335;-0,07;0,00429672620962801
3,4008635;0,33202226271979;-0,405;-0,08;0,00112220225245671
3,50009775;0,341787623388019;-0,45;-0,09;0,00109640931848876
3,60006175;0,351552984056249;-0,48;-0,11;0,00111757176541866
3,70037425;0,361318344724478;-0,485;-0,11;0,00136103393209033
3,80049275;0,371083705392707;-0,485;-0,11;0,00131092815940557
3,90115225;0,380849066060936;-0,48;-0,1;0,00136426328701744
4,00109275;0,390614426729165;-0,455;-0,08;0,00129585771711633
4,102506;0,400379787397394;-0,395;-0,07;0,000954952269922698
4,2016525;0,410145148065623;-0,32;-0,05;0,000714288121618038
4,300718;0,419910508733852;-0,235;-0,03;0,000251799755766337
4,3998795;0,429675869402082;-0,135;-0,01;0,000443739091619589
4,50043675;0,439441230070311;-0,0350000000000001;0,01;0,00051745668147166
4,600886;0,44920659073854;0,0649999999999999;0,02;0,000813855305639417
4,700026;0,458971951406769;0,17;0,04;0,000975710596059608
4,80069425;0,468737312074998;0,27;0,05;0,0010618170861594
4,899855;0,478502672743227;0,355;0,06;0,00107555960073221
4,99997275;0,488268033411456;0,43;0,07;0,00105617088001368
5,10064475;0,498033394079685;0,495;0,07;0,0008813770056812
5,2004635;0,507798754747915;0,54;0,08;0,00103456152838911
5,30091425;0,517564115416144;0,565;0,08;0,0010996457986436
5,4006995;0,527329476084373;0,58;0,08;0,00136206279545372
5,500604;0,537094836752602;0,57;0,08;0,00122248742517946
5,60055875;0,546860197420831;0,57;0,08;0,000953939121102662
5,7006125;0,55662555808906;0,54;0,07;0,000810074819227493
5,80132525;0,566390918757289;0,47;0,07;0,000597374408005627
5,900684;0,576156279425519;0,39;0,07;0,000958125501480686
6,000025;0,585921640093748;0,295;0,06;0,0015428743638326
6,09974025;0,595687000761977;0,2;0,05;0,00173164920385227
6,200726;0,605452361430206;0,1;0,04;0,00122047999800553
6,29969875;0,615217722098435;-0,00999999999999979;0,03;0,000482392672237871
6,39989425;0,624983082766664;-0,105;0,01;0,000314938335569665
6,500504;0,634748443434893;-0,2;-0,01;0,00040538691992843
6,601315;0,644513804103122;-0,285;-0,03;0,000350288408259377
6,70083225;0,654279164771352;-0,36;-0,04;0,000299508837926075
6,8004545;0,664044525439581;-0,42;-0,06;0,000267912137553942
6,9006125;0,67380988610781;-0,46;-0,07;0,000363639494867825
7,00133675;0,683575246776039;-0,48;-0,08;0,000547267830072532
7,100395;0,693340607444268;-0,485;-0,09;0,000510175667670616
7,20069675;0,703105968112497;-0,485;-0,09;0,000471484574883786
7,29976;0,712871328780726;-0,48;-0,09;0,000321067544310374
7,39990725;0,722636689448955;-0,44;-0,09;0,000387161132354924
7,5008725;0,732402050117185;-0,38;-0,08;0,000346825535380684
