Zeit t / s;Frequenz f / Hz;Spannung U_B1 / V;Weg &b_A1 / rad;FFT fft / rad
0;0;-0,485;0;0,0953797989598754
0,100958;0,00976549480179225;-0,485;0;0,0975195929392727
0,2009325;0,0195309896035845;-0,48;0;0,030156470229034
0,29994075;0,0292964844053767;-0,44;0;0,00415915091177708
0,40028;0,039061979207169;-0,38;0;0,00271179857754928
0,4999325;0,0488274740089612;-0,305;0;0,00203102372824593
0,60129775;0,0585929688107535;-0,21;0,01;0,00165783023858782
0,70055675;0,0683584636125457;-0,105;0,01;0,00152309194406692
0,79996075;0,078123958414338;-0,00999999999999979;0,02;0,00141151343020548
0,900339;0,0878894532161302;0,0950000000000002;0,04;0,00126365594466118
1,000036;0,0976549480179224;0,19;0,05;0,000998148404974893
1,099896;0,107420442819715;0,285;0,07;0,00104222100623236
1,200078;0,117185937621507;0,37;0,09;0,000981461467752742
1,300919;0,126951432423299;0,45;0,11;0,00101483104526076
1,400938;0,136716927225091;0,51;0,13;0,000902898740080923
1,50056;0,146482422026884;0,545;0,14;0,000952165815538039
1,599638;0,156247916828676;0,57;0,16;0,000792425643771611
1,699998;0,166013411630468;0,57;0,17;0,000742473728747618
1,801176;0,17577890643226;0,565;0,17;0,000479114910416942
1,9005525;0,185544401234053;0,56;0,17;0,000388380450826718
2,00053775;0,195309896035845;0,52;0,16;0,000395842142073182
2,10009675;0,205075390837637;0,445;0,14;0,000542109001554495
2,20117625;0,214840885639429;0,365;0,13;0,00069310151646729
2,29990625;0,224606380441222;0,27;0,1;0,000467650128104537
2,400736;0,234371875243014;0,165;0,08;0,000408279850511178
2,49964175;0,244137370044806;0,0649999999999999;0,06;0,00033950647981847
2,60112225;0,253902864846598;-0,04;0,03;0,000518411321202955
2,700738;0,263668359648391;-0,14;0,01;0,000655233184783024
2,7997325;0,273433854450183;-0,23;-0,01;0,00474222136390934
2,9005125;0,283199349251975;-0,31;-0,02;0,0502458589514056
2,99944;0,292964844053767;-0,385;-0,03;0,0924428803299532
3,0999415;0,30273033885556;-0,435;-0,04;0,0911733335618747
3,2008815;0,312495833657352;-0,47;-0,04;0,0457696892574322
3,30008075;0,322261328459144;-0,485;-0,04;0,00360547425081506
3,40146225;0,332026823260936;-0,485;-0,03;0,000769571927745359
3,500698;0,341792318062729;-0,48;-0,02;0,000704119045260515
3,600652;0,351557812864521;-0,475;-0,02;0,000477259232442976
3,69973075;0,361323307666313;-0,425;0;0,000477064796076008
3,7998725;0,371088802468105;-0,355;0,01;0,000311084014932355
3,90002;0,380854297269898;-0,275;0,02;0,000344984379168274
4,000036;0,39061979207169;-0,175;0,04;0,00037419403127244
4,100853;0,400385286873482;-0,0800000000000001;0,05;0,00060620873276409
4,1997295;0,410150781675274;0,0249999999999999;0,06;0,000625228798966452
4,299798;0,419916276477067;0,13;0,07;0,000643254983805726
4,399953;0,429681771278859;0,225;0,08;0,00046167004734554
4,50031675;0,439447266080651;0,32;0,09;0,000559324860941124
4,60016075;0,449212760882443;0,405;0,1;0,000555312182336094
4,6992925;0,458978255684236;0,47;0,11;0,000569276350534048
4,800278;0,468743750486028;0,525;0,12;0,00061441552810885
4,900356;0,47850924528782;0,555;0,12;0,000660988010166848
5,00023775;0,488274740089612;0,57;0,13;0,000876366248091512
5,1005145;0,498040234891404;0,57;0,14;0,00104165615861129
5,201552;0,507805729693197;0,57;0,14;0,00194021734101151
5,30060325;0,517571224494989;0,56;0,14;0,00220374365545326
5,3998745;0,527336719296781;0,5;0,14;0,00216083770309
5,5003145;0,537102214098574;0,425;0,13;0,00129265615181378
5,599919;0,546867708900366;0,34;0,12;0,000931382302029862
5,70084875;0,556633203702158;0,24;0,11;0,000592278775084768
5,800721;0,56639869850395;0,135;0,1;0,000559508850381745
5,8999905;0,576164193305742;0,0350000000000001;0,08;0,000801808422337354
6,00062;0,585929688107535;-0,0700000000000003;0,06;0,00177000653301773
6,10000075;0,595695182909327;-0,16;0,03;0,00196596826632899
6,199958;0,605460677711119;-0,255;0,02;0,00156348447260724
6,300656;0,615226172512911;-0,335;-0,01;0,00071861878820109
6,39989075;0,624991667314704;-0,395;-0,02;0,00037770818086412
6,50069075;0,634757162116496;-0,45;-0,04;0,000331051026141975
6,601538;0,644522656918288;-0,475;-0,04;0,000266417216444359
6,69988175;0,65428815172008;-0,49;-0,05;0,000243425610965361
6,801732;0,664053646521873;-0,485;-0,05;0,000403866705117339
6,90062175;0,673819141323665;-0,48;-0,04;0,000502793718777773
7,00033725;0,683584636125457;-0,465;-0,04;0,000517736610128754
7,099372;0,693350130927249;-0,41;-0,02;0,000362962507379043
7,201458;0,703115625729042;-0,33;0;0,000235333877599325
7,29953675;0,712881120530834;-0,245;0,02;0,000273255184369524
7,40062075;0,722646615332626;-0,145;0,03;0,000237398440388523
7,50078;0,732412110134418;-0,0499999999999998;0,05;0,000329724086178073
7,60033675;0,742177604936211;0,0499999999999998;0,07;0,000256379684538846
7,7009345;0,751943099738003;0,155;0,09;0,000233613726722286
7,800074;0,761708594539795;0,25;0,1;9,23653512072858E-05
7,90027775;0,771474089341587;0,345;0,12;0,00014259916443443
8,0009;0,78123958414338;0,425;0,13;0,000170231575240313
8,10060875;0,791005078945172;0,49;0,13;0,000254742175831731
8,201552;0,800770573746964;0,535;0,14;0,000421901660310498
8,3005125;0,810536068548756;0,565;0,14;0,000695448871375849
8,399619;0,820301563350549;0,57;0,14;0,000672186255823326
8,50005775;0,830067058152341;0,565;0,14;0,000543154845154249
8,60079075;0,839832552954133;0,565;0,13;0,000342201560459471
8,700458;0,849598047755925;0,545;0,13;0,00028336981942553
8,79955075;0,859363542557718;0,48;0,12;0,000205616032211714
8,90022225;0,86912903735951;0,4;0,11;0,000307950562386017
9,00028075;0,878894532161302;0,31;0,1;0,000977006569182468
9,099695;0,888660026963094;0,21;0,09;0,00166589983889543
9,2004345;0,898425521764887;0,105;0,08;0,00164199604371795
9,30001675;0,908191016566679;0,00499999999999989;0,06;0,00105103157483709
9,4005325;0,917956511368471;-0,1;0,05;0,000389048823919895
9,50109075;0,927722006170263;-0,195;0,03;0,000279772631540112
9,60078225;0,937487500972056;-0,28;0,02;0,000232870820008149
9,699938;0,947252995773848;-0,355;0;0,000273700331622614
9,80119075;0,95701849057564;-0,415;-0,01;0,000441517646354455
9,900696;0,966783985377432;-0,46;-0,02;0,000547453584619457
10,00060225;0,976549480179224;-0,48;-0,03;0,000487617315795468
10,10082075;0,986314974981017;-0,49;-0,04;0,000371642437611009
