Zeit t / s;Frequenz f / Hz;Spannung U_B1 / V;Weg &b_A1 / rad;FFT fft / rad
0;0;0,48;0;0,100280668677353
0,0999600000000003;0,00976539322097569;0,48;0;0,104146594923686
0,20031075;0,0195307864419514;0,54;0;0,0429683860724534
0,29968825;0,0292961796629271;0,57;0;0,00614359498347047
0,4005775;0,0390615728839028;0,565;0;0,00322745429468026
0,49991075;0,0488269661048784;0,405;0;0,00210528326066852
0,600408499999999;0,0585923593258541;0,0800000000000001;0;0,0014363000709513
0,69959075;0,0683577525468298;-0,25;0;0,00104327915806757
0,79957575;0,0781231457678055;-0,455;-0,01;0,00116794093999113
0,89989075;0,0878885389887812;-0,48;-0,04;0,00111840231228004
1,00062;0,0976539322097569;-0,325;-0,07;0,000958456317099129
1,100555;0,107419325430733;-0,00499999999999989;-0,1;0,000817287339750667
1,20105725;0,117184718651708;0,325;-0,13;0,000926074135271191
1,2994865;0,126950111872684;0,54;-0,14;0,000637720856401655
1,40094;0,13671550509366;0,57;-0,14;0,00081089740684685
1,50047275;0,146480898314635;0,41;-0,13;0,000718363013047836
1,60096;0,156246291535611;0,0750000000000002;-0,1;0,000635227640247765
1,699997;0,166011684756587;-0,245;-0,06;0,000325565226376057
1,80073075;0,175777077977562;-0,455;-0,03;0,000348258604545419
1,899717;0,185542471198538;-0,485;-0,01;0,000576517234245936
2,0000375;0,195307864419514;-0,325;0;0,000550539836004821
2,10029625;0,205073257640489;-0,00499999999999989;0;0,000494063021690865
2,199432;0,214838650861465;0,325;0;0,000464145306164656
2,2998465;0,224604044082441;0,54;-0,01;0,000537768652445579
2,40013425;0,234369437303417;0,57;-0,01;0,000471970121954192
2,500198;0,244134830524392;0,41;-0,01;0,000419289368358731
2,601275;0,253900223745368;0,0750000000000002;-0,02;0,000426274974171708
2,70009625;0,263665616966344;-0,25;-0,02;0,00039978134559422
2,800992;0,273431010187319;-0,455;-0,03;0,000387492390263694
2,900129;0,283196403408295;-0,48;-0,05;0,0004353903456109
