Zeit t / s;Frequenz f / Hz;Spannung U_B1 / V;Weg &b_A1 / rad;FFT fft / rad
0;0;-0,485;0;0,121885630710066
0,10032925;0,00976553017277734;-0,485;0;0,122886403321938
0,200867000000001;0,0195310603455547;-0,49;0;0,0427142662450302
0,30068925;0,029296590518332;-0,49;0;0,0020550221838101
0,399907750000001;0,0390621206911094;-0,485;0;0,00148354572768476
0,500479500000001;0,0488276508638867;-0,485;0;0,00148077147277215
0,601448750000001;0,058593181036664;-0,49;0;0,0020676017370528
0,69954375;0,0683587112094414;-0,485;0;0,0023657657742641
0,799779000000001;0,0781242413822187;-0,485;0;0,00212839741915148
0,900759000000001;0,0878897715549961;-0,485;0;0,00155483508194492
1,00032;0,0976553017277734;-0,49;0;0,00100522253490817
1,10030425;0,107420831900551;-0,49;0;0,00101520719255157
1,200305;0,117186362073328;-0,49;0;0,00141112045456415
1,30120775;0,126951892246105;-0,485;0;0,00186668489449421
1,4005195;0,136717422418883;-0,485;0;0,00209007212516127
1,500707;0,14648295259166;-0,485;0;0,00202454220164906
1,60064375;0,156248482764437;-0,485;0;0,0019649692944118
1,699823;0,166014012937215;-0,485;0;0,00471444232686211
1,800765;0,175779543109992;-0,485;0;0,0364809269888201
1,9001045;0,185545073282769;-0,485;0;0,0768689332351775
2,0007385;0,195310603455547;-0,485;0;0,0857796044107593
2,100023;0,205076133628324;-0,49;0;0,0548408999775208
2,200927;0,214841663801102;-0,485;0;0,0147458217079271
2,299925;0,224607193973879;-0,485;0;0,00278507020003399
2,40092925;0,234372724146656;-0,475;0,01;0,00147613128284355
2,5002395;0,244138254319434;-0,455;0,01;0,000777369055021752
2,601046;0,253903784492211;-0,405;0,01;0,000469330298013924
2,70074875;0,263669314664988;-0,37;0,01;0,000554117694092472
2,79976475;0,273434844837766;-0,32;0,01;0,000550205092503301
2,89996;0,283200375010543;-0,26;0,02;0,000557803382839757
3,0006835;0,29296590518332;-0,2;0,03;0,000454717976565626
3,0997575;0,302731435356098;-0,14;0,03;0,000308318988342001
3,2007435;0,312496965528875;-0,0700000000000003;0,04;0,000329674516255839
3,29993575;0,322262495701652;-0,00499999999999989;0,05;0,000398788564874754
3,4021365;0,33202802587443;0,0649999999999999;0,06;0,000523535347815247
3,501425;0,341793556047207;0,125;0,07;0,000363608685881779
3,600505;0,351559086219984;0,195;0,08;0,000418080452394176
3,70003025;0,361324616392762;0,255;0,09;0,000602874300116068
3,80089775;0,371090146565539;0,315;0,11;0,000992943766969998
3,89990475;0,380855676738316;0,37;0,11;0,000918717318189186
4,000066;0,390621206911094;0,42;0,12;0,000688428360498219
4,10070375;0,400386737083871;0,46;0,13;0,000422054332149915
4,20036925;0,410152267256648;0,505;0,13;0,000398395475277231
4,3006195;0,419917797429426;0,535;0,13;0,000377696099852727
4,400285;0,429683327602203;0,555;0,13;0,000308957659015971
4,50027025;0,43944885777498;0,57;0,13;0,000268745723201364
4,600185;0,449214387947758;0,575;0,13;0,000261365412926871
4,70036775;0,458979918120535;0,575;0,13;0,000202185318199423
4,80112;0,468745448293312;0,57;0,13;0,000227068067080789
4,9002195;0,47851097846609;0,57;0,13;0,000233385125845847
5,000222;0,488276508638867;0,57;0,13;0,000468283152777301
5,101086;0,498042038811644;0,54;0,13;0,00041539445431483
5,200783;0,507807568984422;0,5;0,13;0,000392574649809947
5,30121925;0,517573099157199;0,45;0,12;0,000348992113556181
5,39985025;0,527338629329976;0,4;0,12;0,000375715287791514
5,499705;0,537104159502754;0,345;0,11;0,000496029757060014
5,600087;0,546869689675531;0,28;0,11;0,000302064341384095
5,701087;0,556635219848308;0,21;0,1;0,00103978700979823
5,80017775;0,566400750021086;0,145;0,09;0,00244860936048602
5,900579;0,576166280193863;0,0800000000000001;0,08;0,00318493225217006
6,000302;0,58593181036664;0,00999999999999979;0,07;0,00239910062626796
6,10107775;0,595697340539418;-0,0600000000000001;0,06;0,00102161024526694
6,20047775;0,605462870712195;-0,12;0,05;0,000324819289772401
6,301243;0,615228400884972;-0,185;0,04;0,000466956201734059
6,40102;0,62499393105775;-0,245;0,03;0,000353802510107281
6,50041575;0,634759461230527;-0,295;0,02;0,000369868781131724
6,6001195;0,644524991403304;-0,34;0,02;0,000218201740925259
6,700542;0,654290521576082;-0,385;0,01;0,000248023644177663
6,800323;0,664056051748859;-0,42;0;0,000269333874848545
6,900905;0,673821581921637;-0,445;0;0,000263697229141046
7,000385;0,683587112094414;-0,465;0;0,000146383815747383
7,10032425;0,693352642267191;-0,475;-0,01;0,000131963071860857
7,199719;0,703118172439969;-0,485;-0,01;0,000182052577516985
7,3003485;0,712883702612746;-0,48;-0,01;0,000208468843854023
7,4004395;0,722649232785523;-0,48;0;0,00021334150597154
7,50104775;0,732414762958301;-0,475;0;0,000172758422167411
7,600148;0,742180293131078;-0,47;0;0,000247006503581438
7,700143;0,751945823303855;-0,445;0,01;0,000309167515570045
7,8004615;0,761711353476633;-0,4;0,01;0,000461191220435511
7,900127;0,77147688364941;-0,36;0,02;0,000526251176805395
7,99996875;0,781242413822187;-0,305;0,02;0,000638557191159677
8,10078875;0,791007943994965;-0,25;0,03;0,00054035553051139
8,20044775;0,800773474167742;-0,185;0,03;0,000438789959112897
8,30116775;0,810539004340519;-0,125;0,04;0,000250602767768689
