Zeit t / s;Frequenz f / Hz;Spannung U_B1 / V;Weg &b_A1 / rad;FFT fft / rad
0;0;0,105;0;0,0251728076297914
0,100062;0,00976538396006493;0,24;0;0,0286613419940057
0,2010355;0,0195307679201299;0,445;0;0,0147587584171228
0,30090125;0,0292961518801948;0,565;0;0,00450338211126612
0,40024475;0,0390615358402597;0,57;0,01;0,00133863300975471
0,50002;0,0488269198003247;0,455;0,03;0,000833395102531084
0,60022475;0,0585923037603896;0,205;0,04;0,000564100413938398
0,70058175;0,0683576877204545;-0,0700000000000003;0,05;0,000361789626794456
0,80032175;0,0781230716805194;-0,31;0,05;0,000443644572854671
0,90002725;0,0878884556405844;-0,46;0,04;0,000693643986131269
1,00066475;0,0976538396006493;-0,485;0,02;0,000889107859930799
1,099722;0,107419223560714;-0,425;-0,01;0,000861269675574948
1,20077675;0,117184607520779;-0,21;-0,05;0,000563324270328026
1,300262;0,126949991480844;0,0550000000000002;-0,08;0,000368735047551576
1,40046475;0,136715375440909;0,315;-0,11;0,000320869820398689
1,4994335;0,146480759400974;0,5;-0,12;0,000337763245893488
1,6009565;0,156246143361039;0,575;-0,11;0,000277527842035612
1,700302;0,166011527321104;0,555;-0,09;0,000339546658242734
1,79944475;0,175776911281169;0,365;-0,05;0,000331663564240367
1,8996005;0,185542295241234;0,1;-0,01;0,000306435980177722
1,99964475;0,195307679201299;-0,17;0,03;0,000383107076760755
2,10050175;0,205073063161364;-0,38;0,07;0,000343307050727373
2,19968;0,214838447121428;-0,485;0,09;0,000556316082684981
2,299836;0,224603831081493;-0,485;0,09;0,000665732310767333
2,4003385;0,234369215041558;-0,355;0,08;0,000836874065374029
2,50032;0,244134599001623;-0,11;0,05;0,00100439823574676
2,60008725;0,253899982961688;0,155;0,02;0,0012702005399761
2,700642;0,263665366921753;0,405;-0,02;0,00149247390733662
2,800356;0,273430750881818;0,55;-0,05;0,0014395933526262
2,90034175;0,283196134841883;0,57;-0,07;0,00109408657035425
3,00038175;0,292961518801948;0,495;-0,08;0,000800847509623831
3,09948925;0,302726902762013;0,27;-0,07;0,000706097782181939
3,20026725;0,312492286722078;-0,00499999999999989;-0,06;0,000777710563059641
3,30040075;0,322257670682143;-0,265;-0,04;0,00101083373038756
3,399717;0,332023054642208;-0,435;-0,03;0,00112512191800116
3,50001475;0,341788438602273;-0,49;-0,01;0,00111975472400813
