Zeit t / s;Frequenz f / Hz;Spannung U_B1 / V;Weg &b_A1 / rad;FFT fft / rad
0;0;0,575;0;0,127579385518668
0,101371;0,00488274813985188;0,57;0;0,13747631838239
0,20040725;0,00976549627970376;0,57;0;0,0632774910775784
0,30072525;0,0146482444195556;0,565;0;0,0133925259203213
0,4000715;0,0195309925594075;0,51;0;0,00367614506641305
0,50122925;0,0244137406992594;0,37;0;0,00177531851228006
0,60031375;0,0292964888391113;0,215;-0,01;0,00160802976083612
0,69958375;0,0341792369789631;0,04;-0,02;0,00159225689295011
0,8003465;0,039061985118815;-0,12;-0,03;0,00119452474029176
0,89928925;0,0439447332586669;-0,27;-0,05;0,00105139915445092
1,00028525;0,0488274813985188;-0,39;-0,07;0,00113681720662441
1,09990825;0,0537102295383707;-0,465;-0,1;0,0011478215905516
1,20098175;0,0585929776782225;-0,485;-0,13;0,00123581750989859
1,3028545;0,0634757258180744;-0,48;-0,16;0,0011804672702585
1,400418;0,0683584739579263;-0,435;-0,18;0,00104898520005055
1,49932725;0,0732412220977782;-0,32;-0,2;0,000844198923844557
1,59936425;0,07812397023763;-0,175;-0,2;0,000679468303401905
1,69983375;0,0830067183774819;-0,00499999999999989;-0,2;0,000801563406219849
1,80002;0,0878894665173338;0,16;-0,18;0,00081201269379838
1,9008325;0,0927722146571857;0,325;-0,14;0,000850549751547127
2,00066;0,0976549627970376;0,45;-0,1;0,000881507352196793
2,100571;0,102537710936889;0,535;-0,04;0,000900598998612768
2,199847;0,107420459076741;0,575;0,01;0,00101945951558526
2,3004315;0,112303207216593;0,57;0,06;0,000983382433338223
2,39964325;0,117185955356445;0,55;0,11;0,000859152733560421
2,49988375;0,122068703496297;0,435;0,14;0,000890837535599238
2,59986425;0,126951451636149;0,275;0,16;0,000948995868724576
2,70102525;0,131834199776001;0,115;0,15;0,000731076635027004
2,80058925;0,136716947915853;-0,0600000000000001;0,12;0,000656604755608025
2,89992525;0,141599696055704;-0,215;0,08;0,00074733165549297
3,00007;0,146482444195556;-0,34;0,01;0,000752096700722276
3,10008925;0,151365192335408;-0,44;-0,07;0,000745902852145435
3,20013075;0,15624794047526;-0,48;-0,15;0,000725147400056974
3,30040125;0,161130688615112;-0,49;-0,23;0,000703231500374606
3,40042675;0,166013436754964;-0,47;-0,3;0,000785162029043402
3,49988525;0,170896184894816;-0,375;-0,34;0,000793612133683482
3,60071;0,175778933034668;-0,23;-0,36;0,000739873433274921
3,70004525;0,180661681174519;-0,0700000000000003;-0,36;0,000738989005531121
3,801447;0,185544429314371;0,105;-0,32;0,000790211106587319
3,89975375;0,190427177454223;0,265;-0,25;0,000750114604673414
4,000078;0,195309925594075;0,4;-0,16;0,000948475648509971
4,1009615;0,200192673733927;0,505;-0,06;0,00082122411460898
4,20083;0,205075421873779;0,565;0,04;0,000900800950926353
4,30052725;0,209958170013631;0,57;0,14;0,00105098132634055
4,40056125;0,214840918153483;0,565;0,22;0,00092346505521829
4,499886;0,219723666293334;0,48;0,28;0,0010497694776069
4,59968525;0,224606414433186;0,345;0,3;0,000800680857977716
4,70040825;0,229489162573038;0,18;0,3;0,000965076986121556
4,8014715;0,23437191071289;0,00999999999999979;0,25;0,000958296216091599
4,8996525;0,239254658852742;-0,155;0,17;0,00102429802151647
5,00032725;0,244137406992594;-0,295;0,06;0,00100133130902798
5,0996445;0,249020155132446;-0,41;-0,06;0,001063684262841
5,19934725;0,253902903272298;-0,47;-0,18;0,000861107123113865
5,30022525;0,258785651412149;-0,485;-0,3;0,00101602397757957
5,39982575;0,263668399552001;-0,48;-0,4;0,00110400904132949
5,5003;0,268551147691853;-0,42;-0,47;0,00126604720118538
5,60117125;0,273433895831705;-0,29;-0,5;0,000924840209890455
5,70108925;0,278316643971557;-0,135;-0,48;0,000894417567670255
5,80012825;0,283199392111409;0,0300000000000002;-0,43;0,000927036726456782
5,89982525;0,288082140251261;0,195;-0,34;0,00110329781991864
6,00009075;0,292964888391113;0,35;-0,21;0,00113601299342706
6,10021;0,297847636530965;0,47;-0,06;0,00112186758856248
6,2007115;0,302730384670816;0,555;0,08;0,00111789524914812
6,3006915;0,307613132810668;0,575;0,22;0,00118120958632473
6,40118575;0,31249588095052;0,57;0,32;0,00119921832512587
6,50050175;0,317378629090372;0,53;0,4;0,00117522687124451
6,59988225;0,322261377230224;0,405;0,43;0,00122646295197229
6,70111425;0,327144125370076;0,255;0,42;0,00114060086542305
6,80026725;0,332026873509928;0,085;0,34;0,00105330267103549
6,9014065;0,33690962164978;-0,0899999999999999;0,24;0,00114124927945087
7,00064575;0,341792369789631;-0,245;0,1;0,00125369795936625
7,10107075;0,346675117929483;-0,365;-0,06;0,00168071698459205
7,20107;0,351557866069335;-0,445;-0,22;0,00147737029990459
7,30111;0,356440614209187;-0,485;-0,38;0,00144782770273373
7,400126;0,361323362349039;-0,485;-0,49;0,00160226769756588
7,50026725;0,366206110488891;-0,46;-0,58;0,00156251985023464
7,6012265;0,371088858628743;-0,355;-0,6;0,00167627374151354
7,69990225;0,375971606768595;-0,215;-0,58;0,00161570683683565
7,80088525;0,380854354908446;-0,0449999999999999;-0,51;0,00187114514916191
7,90034525;0,385737103048298;0,12;-0,39;0,00203729471469896
8,00048175;0,39061985118815;0,28;-0,24;0,00192987613188915
8,10025025;0,395502599328002;0,415;-0,06;0,00215604712520789
8,20000825;0,400385347467854;0,52;0,11;0,00208659769003567
8,30059;0,405268095607706;0,565;0,27;0,00237312144283795
8,40140525;0,410150843747558;0,57;0,4;0,00229350698839306
