Zeit t / s;Frequenz f / Hz;Spannung U_B1 / V;Weg &b_A1 / rad;FFT fft / rad
0;0;0,475;0,05;0,110832419193966
0,100406750000005;0,0097656454527407;0,55;0,12;0,127522678442404
0,200136000000001;0,0195312909054814;0,575;0,18;0,0647034481377669
0,300899999999999;0,0292969363582221;0,57;0,22;0,0183326119268444
0,400662499999996;0,0390625818109628;0,525;0,23;0,00308308655947027
0,500394249999999;0,0488282272637035;0,41;0,22;0,00276194394789111
0,59970525;0,0585938727164442;0,275;0,19;0,00216380372958284
0,700134250000005;0,0683595181691849;0,105;0,13;0,00193287350866996
0,800921250000002;0,0781251636219256;-0,0600000000000001;0,06;0,00256017863120831
0,901321499999995;0,0878908090746663;-0,21;-0,02;0,00253657401132752
1,000238;0,097656454527407;-0,335;-0,1;0,00162048511941668
1,0996415;0,107422099980148;-0,435;-0,18;0,0014048990544299
1,19980149999999;0,117187745432888;-0,48;-0,25;0,00137637379828473
1,30064075;0,126953390885629;-0,485;-0,3;0,0015331025064831
1,4000195;0,13671903633837;-0,48;-0,33;0,0015912468374615
1,50036799999999;0,14648468179111;-0,405;-0,33;0,00171666907172807
1,600478;0,156250327243851;-0,285;-0,32;0,00172274559736252
1,70031399999999;0,166015972696592;-0,13;-0,27;0,00137254789891377
1,79982149999999;0,175781618149333;0,0300000000000002;-0,21;0,00154056263641572
1,900301;0,185547263602073;0,19;-0,13;0,00138158067850999
1,99971599999999;0,195312909054814;0,335;-0,05;0,00135498291904658
2,09979425;0,205078554507555;0,455;0,03;0,00130265009340266
2,20034799999999;0,214844199960295;0,54;0,11;0,0013920638028165
2,3006815;0,224609845413036;0,57;0,17;0,00148838357081715
2,4005215;0,234375490865777;0,565;0,21;0,00119103559515846
2,4996015;0,244141136318517;0,545;0,23;0,00145976410680254
2,60047299999999;0,253906781771258;0,44;0,23;0,0014564134967579
2,7000395;0,263672427223999;0,3;0,19;0,00173946449034651
2,8005615;0,27343807267674;0,13;0,15;0,00171132181102121
2,9005015;0,28320371812948;-0,0249999999999999;0,07;0,0017754036775777
2,9998555;0,292969363582221;-0,18;-0,01;0,00215844133160484
3,10069224999999;0,302735009034962;-0,32;-0,09;0,00205991831673703
3,2006815;0,312500654487702;-0,415;-0,17;0,00261070196267585
3,3004995;0,322266299940443;-0,475;-0,24;0,00218208889726182
3,39949224999999;0,332031945393184;-0,495;-0,29;0,00272132660931265
3,49990124999999;0,341797590845924;-0,48;-0,33;0,00225109071798728
