Zeit t / s;Frequenz f / Hz;Spannung U_B1 / V;Weg &b_A1 / rad;FFT fft / rad
0;0;0,47;0,42;0,0306938773325641
0,0996549999999985;0,00976552833614084;0,32;0,45;0,0314995283107492
0,200176999999996;0,0195310566722817;0,155;0,45;0,0120426926889347
0,300834499999993;0,0292965850084225;-0,0300000000000002;0,39;0,00151106981496847
0,400048499999997;0,0390621133445633;-0,195;0,3;0,0010319150257171
0,500548499999994;0,0488276416807042;-0,33;0,18;0,00112274899153353
0,599867250000003;0,058593170016845;-0,435;0,05;0,00109350041064926
0,700533750000005;0,0683586983529859;-0,485;-0,09;0,00100076925694111
0,800090249999997;0,0781242266891267;-0,485;-0,22;0,000911727642076248
0,900312249999999;0,0878897550252675;-0,47;-0,32;0,000803291344370679
0,999735749999999;0,0976552833614084;-0,37;-0,39;0,00123079935105279
1,100521;0,107420811697549;-0,22;-0,42;0,00126358828919318
1,19935575;0,11718634003369;-0,0550000000000002;-0,41;0,0009561197971512
1,2996385;0,126951868369831;0,12;-0,35;0,000618730878270926
1,40065675;0,136717396705972;0,29;-0,26;0,0011114338259431
1,50005575;0,146482925042113;0,43;-0,14;0,0012340748491396
1,60096975;0,156248453378253;0,525;0;0,00127049634665137
1,70025025;0,166013981714394;0,575;0,14;0,000700669294678817
1,80099375;0,175779510050535;0,57;0,26;0,000809210108260238
1,90163674999999;0,185545038386676;0,545;0,37;0,00113910988105416
2,00043574999999;0,195310566722817;0,43;0,43;0,00114384059368129
2,10010225000001;0,205076095058958;0,275;0,45;0,000994961874037792
2,20049849999999;0,214841623395098;0,105;0,43;0,000480253669623337
2,29961025;0,224607151731239;-0,0750000000000002;0,38;0,00091056940257927
2,39969075;0,23437268006738;-0,235;0,27;0,00128237897452293
2,50001425000001;0,244138208403521;-0,36;0,15;0,00137357823597916
2,5998685;0,253903736739662;-0,455;0,02;0,000976608865463537
2,7007145;0,263669265075803;-0,485;-0,12;0,00109135113061608
2,8003755;0,273434793411943;-0,48;-0,25;0,00151069515180527
2,89954;0,283200321748084;-0,445;-0,34;0,00168223858483995
2,99959375;0,292965850084225;-0,335;-0,4;0,00122348678089367
3,10055850000001;0,302731378420366;-0,18;-0,42;0,00108914807231103
3,20037025000001;0,312496906756507;-0,00499999999999989;-0,4;0,00156458165066928
3,30229025;0,322262435092648;0,17;-0,33;0,0020846127330577
3,40023775;0,332027963428788;0,33;-0,22;0,0016192574011509
3,50117575;0,341793491764929;0,46;-0,1;0,00105230123069048
3,60011849999999;0,35155902010107;0,545;0,04;0,00168052361038701
3,70103675;0,361324548437211;0,575;0,18;0,00225258640312272
3,80081675;0,371090076773352;0,57;0,3;0,00299342193833171
3,90121575000001;0,380855605109493;0,525;0,38;0,00206270455105374
4,0001395;0,390621133445633;0,395;0,44;0,00273922603242146
4,10075375;0,400386661781774;0,23;0,46;0,00327267483613337
4,19965225;0,410152190117915;0,0550000000000002;0,42;0,00427916763097766
4,30025025;0,419917718454056;-0,12;0,35;0,0033461860981882
4,39930725000001;0,429683246790197;-0,27;0,24;0,00286720536356492
4,50037775;0,439448775126338;-0,395;0,11;0,00397479277297722
4,59945949999999;0,449214303462478;-0,47;-0,02;0,00708029818625504
4,69945575;0,458979831798619;-0,485;-0,16;0,00939054377329818
4,80055075;0,46874536013476;-0,485;-0,28;0,0106088075649905
4,900812;0,478510888470901;-0,42;-0,36;0,0221999513483471
5,00003275;0,488276416807042;-0,295;-0,42;0,188024187873676
5,101174;0,498041945143183;-0,13;-0,42;0,447100870207386
5,20003675;0,507807473479324;0,0449999999999999;-0,38;0,555901995176598
5,30024975000001;0,517573001815464;0,215;-0,3;0,389073974732664
5,40085775;0,527338530151605;0,37;-0,19;0,127406264665915
5,50108;0,537104058487746;0,485;-0,06;0,00484159018452479
5,60067225;0,546869586823887;0,565;0,08;0,00496058885588845
5,69984225;0,556635115160028;0,575;0,21;0,00654441805695702
5,80127675;0,566400643496168;0,57;0,32;0,00761288109841002
5,90061875000001;0,576166171832309;0,49;0,4;0,0055694542683576
6,00023775;0,58593170016845;0,35;0,45;0,00323191696851124
6,10116975;0,595697228504591;0,18;0,45;0,00213873046432611
6,2004665;0,605462756840732;0,00499999999999989;0,4;0,00340656397913799
6,29936000000001;0,615228285176873;-0,165;0,32;0,0039740766107054
6,40006975;0,624993813513014;-0,31;0,21;0,00272912759196924
6,50033525000001;0,634759341849154;-0,425;0,07;0,00146917031348432
6,59931450000001;0,644524870185295;-0,475;-0,06;0,00176346836037962
6,6994785;0,654290398521436;-0,485;-0,19;0,00269640882054511
6,80020725;0,664055926857577;-0,475;-0,3;0,0026196488787164
6,90002;0,673821455193718;-0,385;-0,38;0,00181726977248004
6,99995575;0,683586983529859;-0,25;-0,42;0,00145790528586307
7,10078;0,693352511865999;-0,0800000000000001;-0,42;0,0020418248324642
7,2002955;0,70311804020214;0,0950000000000002;-0,36;0,00209540948366182
7,30129225;0,712883568538281;0,265;-0,27;0,00160894449446138
7,40061575;0,722649096874422;0,415;-0,16;0,00131238335967819
7,50041874999999;0,732414625210563;0,515;-0,02;0,001281299839606
7,60031574999999;0,742180153546704;0,57;0,12;0,00202950408401296
7,69984650000001;0,751945681882844;0,57;0,24;0,00153400113449653
7,80029450000001;0,761711210218985;0,56;0,35;0,00161998030577322
7,89955675;0,771476738555126;0,455;0,42;0,00112576416312364
7,9998555;0,781242266891267;0,305;0,45;0,00165250175957142
8,10019575;0,791007795227408;0,135;0,44;0,00135843944942392
8,200575;0,800773323563549;-0,0449999999999999;0,38;0,00107799151248956
8,29956;0,810538851899689;-0,21;0,29;0,000887040251863622
8,40073775;0,82030438023583;-0,35;0,17;0,00127352968670418
8,50081425;0,830069908571971;-0,44;0,03;0,00143636304162754
8,59979224999999;0,839835436908112;-0,48;-0,1;0,00102508052975808
8,70129025;0,849600965244253;-0,485;-0,23;0,000733287879873742
8,80090675;0,859366493580394;-0,455;-0,33;0,00102341881420827
8,90077375;0,869132021916534;-0,345;-0,4;0,00118205368669918
8,99967775;0,878897550252675;-0,2;-0,42;0,00118695573435084
9,10100224999999;0,888663078588816;-0,0300000000000002;-0,4;0,000987639917469146
9,20179525;0,898428606924957;0,15;-0,34;0,00110463543083278
9,3000195;0,908194135261098;0,31;-0,24;0,00120577548544368
9,40011425;0,917959663597239;0,44;-0,12;0,00110255682271998
9,50100974999999;0,927725191933379;0,535;0,02;0,000728370347951453
9,59997575;0,93749072026952;0,575;0,15;0,000632496465691595
9,70021425;0,947256248605661;0,57;0,28;0,000833687940270124
9,8012595;0,957021776941802;0,535;0,38;0,00104835042104371
9,90055375;0,966787305277943;0,41;0,43;0,000864012499725864
10,00035375;0,976552833614084;0,26;0,45;0,000661548609516013
10,09961075;0,986318361950224;0,0899999999999999;0,43;0,001001256198182
10,20057375;0,996083890286365;-0,0950000000000002;0,36;0,00113998500793152
10,29985075;1,00584941862251;-0,25;0,26;0,000991185307880469
10,40051375;1,01561494695865;-0,375;0,13;0,000492517995743697
10,5008885;1,02538047529479;-0,465;-0,01;0,000451254923987298
10,6009285;1,03514600363093;-0,485;-0,14;0,000670143170577341
10,70027375;1,04491153196707;-0,48;-0,26;0,000838695068020935
10,80043925;1,05467706030321;-0,435;-0,35;0,000640173687001145
10,9011085;1,06444258863935;-0,31;-0,41;0,000639169813335622
11,0003555;1,07420811697549;-0,155;-0,42;0,000636968823062452
11,1002155;1,08397364531163;0,02;-0,39;0,000905991110511606
11,2011745;1,09373917364777;0,195;-0,32;0,000862454563492604
11,3008665;1,10350470198391;0,355;-0,21;0,000940861791863339
11,4000285;1,11327023032006;0,48;-0,08;0,0011390167346321
11,50064;1,1230357586562;0,555;0,06;0,00127386797516971
11,59975375;1,13280128699234;0,575;0,19;0,00106626956786191
11,70045075;1,14256681532848;0,57;0,3;0,000607359583084725
11,80105075;1,15233234366462;0,51;0,39;0,000595084387993178
11,90097925;1,16209787200076;0,37;0,44;0,000722932101655822
12,00097575;1,1718634003369;0,205;0,45;0,000812725365841797
12,10079375;1,18162892867304;0,0300000000000002;0,41;0,00047244938947402
12,1998545;1,19139445700918;-0,145;0,34;0,000439992148537751
12,3002185;1,20115998534532;-0,29;0,22;0,000587686924653361
12,40047375;1,21092551368146;-0,405;0,1;0,000779196846621118
12,49982;1,2206910420176;-0,47;-0,04;0,000634272813003779
12,60005575;1,23045657035375;-0,485;-0,18;0,00052879908899995
12,700235;1,24022209868989;-0,48;-0,29;0,00050355187594815
12,80053275;1,24998762702603;-0,405;-0,37;0,000659370452581099
12,9001785;1,25975315536217;-0,27;-0,42;0,000626881067441595
13,00025075;1,26951868369831;-0,105;-0,42;0,000431948217488967
13,10019575;1,27928421203445;0,0700000000000003;-0,38;0,00049352002328944
13,200675;1,28904974037059;0,235;-0,29;0,000462206545627011
13,30025375;1,29881526870673;0,385;-0,18;0,00062701508346166
13,40029575;1,30858079704287;0,505;-0,04;0,000481218666178192
13,5011465;1,31834632537901;0,565;0,1;0,000660184445036681
13,60089575;1,32811185371515;0,57;0,22;0,000674287345926118
13,7004545;1,33787738205129;0,565;0,34;0,000616420839449299
13,80081675;1,34764291038744;0,475;0,41;0,000605149574681682
13,90071675;1,35740843872358;0,33;0,45;0,000611448346510888
14,0004795;1,36717396705972;0,155;0,45;0,000970631479008267
14,10067025;1,37693949539586;-0,0150000000000001;0,4;0,00108683360469054
14,1996545;1,386705023732;-0,185;0,31;0,00119805328444081
14,3009745;1,39647055206814;-0,325;0,19;0,000825737540448422
14,4004285;1,40623608040428;-0,43;0,06;0,000629239402834151
14,5008485;1,41600160874042;-0,48;-0,08;0,000465037161897495
14,60087525;1,42576713707656;-0,48;-0,21;0,000672215593480641
14,70093025;1,4355326654127;-0,47;-0,32;0,000586019146653938
