Zeit t / ms;Spannung U_2 / V;Spannung U_B1 / V;Stromstärke I_2 / A;Phasenverschiebung &j_2 / °;f2 f2;n0 n0;f0 f0;f1 f1;Spannung U_A1 / V;Z Z
2202;2,11910358406568;0,01;0,0005;-75,7953077700116;10;25;10;1320;2,10193958048275;4238,20716813135
4235;2,120459855786;0,0223606797749979;0,000707106781186548;-74,4284089086152;138,073111604176;25;10;1320;2,12022404476508;2998,78308652026
6260;2,12087246198351;0,066332495807108;0,00122474487139159;-81,4763367984753;254,877177617223;25;10;1320;2,16153880372294;1731,68511379331
8285;2,11890891734402;0,13490737563232;0,00180277563773199;-82,4031547848879;361,403751901966;25;10;1320;2,23091909310939;1175,35919223411
10296;2,11906229261907;0,222261107708929;0,00229128784747792;-82,9907523046831;458,557142329104;25;10;1320;2,31748786404589;924,834605547958
12323;2,11991155475883;0,330907842155486;0,00282842712474619;-83,0551661321992;547,16208747883;25;10;1320;2,42326226397392;749,501917942843
14342;2,12007075353631;0,458203011775348;0,00335410196624968;-82,6678955433919;627,970757875916;25;10;1320;2,54326561727241;632,082976268851
16368;2,12088424955253;0,600957569217661;0,00396862696659689;-82,2674496542397;701,669141191998;25;10;1320;2,67953354149561;534,412598463795
18407;2,12126730988812;0,764722171772206;0,00458257569495584;-81,6598963362027;768,882865619271;25;10;1320;2,8376486745191;462,898476990366
20444;2,12008254556279;0,941992568972813;0,00522015325445528;-81,0198369287201;830,182510850425;25;10;1320;3,00991694237565;406,134157795722
22476;2,11961081333343;1,14249726476697;0,00591607978309962;-79,9072461425306;886,08845174991;25;10;1320;3,19933586858273;358,279619451464
24514;2,11867293370166;1,35788438388546;0,00665206734782504;-79,1311609016335;937,07527583463;25;10;1320;3,4055616276908;318,498419050791
26550;2,12113177337006;1,59380048939634;0,00739932429347437;-78,0771022044493;983,575812064228;25;10;1320;3,63348317733824;286,665604755387
28584;2,12113177337006;1,85120231201239;0,00820060973342836;-76,984542822471;1025,98480514148;25;10;1320;3,87381594813176;258,655373480783
30617;2,12123784616436;2,12353478897804;0,00908295106229248;-75,4818659515661;1064,66226651411;25;10;1320;4,13367270112185;233,540600584164
32625;2,1201474005361;2,41198051401747;0,00996242942258564;-74,1747784804461;1099,93653052472;25;10;1320;4,40537739586519;212,814295650573
34665;2,12012971301286;2,73848498261356;0,0109430343141196;-72,7304960433873;1132,10704165269;25;10;1320;4,7136397825884;193,742398328888
36695;2,12113177337006;3,06196832119472;0,0119478031453485;-71,0975992310773;1161,44689650902;25;10;1320;5,0146036732727;177,533204018
