Zeit t / ms;Spannung U_2 / V;Spannung U_B1 / V;Stromstärke I_2 / A;Phasenverschiebung &j_2 / °;f2 f2;n0 n0;f0 f0;f1 f1;Spannung U_A1 / V;Z Z
38734;2,12218637258842;3,42021929121511;0,0129807549857472;-69,4441803913746;1188,20516216313;25;10;1320;5,34433344768082;163,487129594432
40754;2,12018277513992;3,77443373236304;0,014;-67,6910906811512;1212,60899048204;25;10;1320;5,6691004577446;151,441626795708
42777;2,12133212863993;4,14880103162347;0,0151079449297381;-65,9324482249195;1234,86554643066;25;10;1320;6,01690950571803;140,411693218735
44787;2,11906229261907;4,55135144764717;0,016224980739588;-63,7809457188141;1255,16376670254;25;10;1320;6,37686835366703;130,604918836587
46824;2,12131445099495;4,94455255811888;0,0173925271309261;-61,7907829896639;1273,67596361012;25;10;1320;6,72929788313759;121,967005428612
48836;2,11910358406568;5,34676070158372;0,0185135085815736;-59,7188569259915;1290,55928785013;25;10;1320;7,08655769750025;114,462559850746
50838;2,12;5,73670201422385;0,0196596032513375;-57,5305828980985;1305,95706256138;25;10;1320;7,39661747016838;107,83533995559
52866;2,1200530653736;6,16340003569458;0,0207966343430854;-55,3268922268078;1320;25;10;1320;7,62816491693776;101,942123441647
54901;2,12096086715432;6,60454389038335;0,022;-52,8751659376644;1334,04293743862;25;10;1320;7,81526710995856;96,4073121433781
56914;2,12098444124421;7,11601714444253;0,0234787137637478;-49,698233053256;1349,44071214987;25;10;1320;7,99400713034458;90,3364836160277
58938;2,11989386526779;7,57868062396088;0,0251296637462581;-46,180630082141;1366,32403638988;25;10;1320;8,16745676450142;84,3582264638716
60966;2,11886172271812;7,92088694528586;0,0270277635034792;-41,5698089375718;1384,83623329746;25;10;1320;8,33030911791393;78,3957474855575
62991;2,11895021177941;8,21432285705888;0,0293385412043612;-35,5611291563389;1405,13445356934;25;10;1320;8,48574981955042;72,2241162919315
65016;2,11912717881679;8,44931654040728;0,0316346329202664;-28,1468769662092;1427,39100951796;25;10;1320;8,61833220524714;66,9875697359268
67057;2,12132623610797;8,62075692732373;0,0337527776634753;-19,1828737911979;1451,79483783687;25;10;1320;8,70833795853147;62,8489381602363
69094;2,12238073869888;8,73412273785983;0,0351816713645046;-7,99850592923115;1478,55310349098;25;10;1320;8,75175696646108;60,3263192561167
71117;2,12145586803025;8,77499002848436;0,0351176593753057;5,14840669765981;1507,89295834731;25;10;1320;8,72380364290715;60,4099449043017
73135;2,12257508701106;8,71700063095099;0,0332415402771893;18,2267860154678;1540,06346947528;25;10;1320;8,57880236396666;63,8530907205762
75160;2,11920385994363;8,56878346091206;0,0299874973947477;29,9333693362918;1575,33773348589;25;10;1320;8,30426095447391;70,6695804603825
77191;2,12117891748905;8,32205803873056;0,0262963875846094;39,7989571652499;1614,01519485852;25;10;1320;7,83144303433282;80,6642703551615
79204;2,12202733252897;7,98359881256567;0,0225665681927935;48,1890157188565;1656,42418793577;25;10;1320;6,92496931401143;94,0341178330616
81245;2,12096676070136;7,50598760990185;0,0193455421221531;54,2843962112164;1702,92472416537;25;10;1320;5,79896111385479;109,63594337698
83282;2,12226883311234;6,75191084064356;0,0165378354085412;59,4544155866376;1753,91154825009;25;10;1320;4,85466270713013;128,328090145114
85322;2,12206267579447;6,02156956282994;0,0142653426176871;63,3990288801707;1809,81748914957;25;10;1320;4,06984643444934;148,756516591715
87350;2,11895611091877;5,41897130459278;0,0123186849947549;66,586015451893;1871,11713438073;25;10;1320;3,42345585629492;172,011550893702
89385;2,11922155519427;4,927291345151;0,0107470926301023;69,3082177780226;1938,330858808;25;10;1320;2,90168916322889;197,190219544436
91386;2,11981720910082;4,51571146110998;0,00946044396421225;71,21614267091;2012,02924212408;25;10;1320;2,47119404337256;224,071641576214
93390;2,11975824093221;4,16650933036277;0,00830662386291807;72,9424560953961;2092,83791252117;25;10;1320;2,1085065804972;255,188904170213
95429;2,12001768860545;3,87190521578202;0,00733143914930759;74,2172090742001;2181,4428576709;25;10;1320;1,80542238825157;289,168012641239
97446;2,12124963170297;3,62391363031737;0,0065;75,4775516979737;2278,59624809803;25;10;1320;1,54672234095199;326,346097185073
99455;2,12209212806607;3,41329752585385;0,00574456264653803;75,9353086692052;2385,12282238278;25;10;1320;1,32932313603578;369,408823375781
101492;2,11992334767085;3,23057270464542;0,00509901951359278;77,2262809237923;2501,92688839582;25;10;1320;1,1413150310059;415,751173734409
103519;2,12228061292563;3,07392257547258;0,00452769256906871;77,5902260987323;2630;25;10;1320;0,983361581515162;468,733373688877
105525;2,1220685662815;2,94114773515374;0,00403112887414927;77,8530507658259;2770,42937438619;25;10;1320;0,851116913238129;526,420422797655
107545;2,12104337532263;2,82698602755656;0,00357071421427143;78,229207641813;2924,40712149868;25;10;1320;0,736070648783118;594,010959164764
