Zeit t / s;Frequenz f / Hz;Spannung U_B1 / V;Weg &b_A1 / rad;FFT fft / rad
0;0;0,565;-0,14;0,118862469991048
0,0999552499999936;0,00976557960216094;0,57;-0,1;0,133284095096903
0,19934275;0,0195311592043219;0,545;-0,04;0,0658421473141157
0,300181749999993;0,0292967388064828;0,41;0,03;0,0164450485960092
0,399058749999995;0,0390623184086438;0,225;0,11;0,00329929179582659
0,500351499999994;0,0488278980108047;0,02;0,18;0,0022101019917935
0,599679499999993;0,0585934776129657;-0,17;0,24;0,00218270605940236
0,700579499999989;0,0683590572151266;-0,335;0,26;0,00181764226542054
0,800398749999999;0,0781246368172875;-0,445;0,27;0,00135416670305894
0,899607749999987;0,0878902164194485;-0,485;0,25;0,00158000643989041
1,00036274999999;0,0976557960216094;-0,48;0,2;0,001347913821735
1,10045874999999;0,10742137562377;-0,415;0,13;0,00146046484952713
1,19953475;0,117186955225931;-0,255;0,05;0,00158899120076655
1,30026074999999;0,126952534828092;-0,0649999999999999;-0,02;0,00124928028178294
1,40034349999999;0,136718114430253;0,135;-0,09;0,00136748831657687
1,50018349999999;0,146483694032414;0,32;-0,14;0,00131742085757429
1,59984075;0,156249273634575;0,465;-0,16;0,00119368550014181
1,70074425;0,166014853236736;0,56;-0,15;0,00116384034306303
1,80023349999999;0,175780432838897;0,575;-0,11;0,000857664069326797
1,90082049999999;0,185546012441058;0,56;-0,06;0,00103409118679884
1,99979949999999;0,195311592043219;0,44;0,02;0,000932305633234899
2,10030024999999;0,20507717164538;0,26;0,1;0,00108422228310368
2,19976075;0,214842751247541;0,0649999999999999;0,17;0,00100077627220563
2,30019949999999;0,224608330849702;-0,135;0,23;0,00100257464072885
2,401185;0,234373910451863;-0,31;0,26;0,00130398057573306
2,50016599999999;0,244139490054024;-0,43;0,27;0,00123856531413081
2,60043725;0,253905069656185;-0,48;0,26;0,00113393781897258
2,70046275;0,263670649258345;-0,485;0,21;0,000916220911658636
2,79935875;0,273436228860506;-0,435;0,14;0,00074232314949972
2,90005875;0,283201808462667;-0,29;0,06;0,00103049223056131
3,00040499999999;0,292967388064828;-0,105;-0,02;0,000704830899687097
3,09981875;0,302732967666989;0,0899999999999999;-0,08;0,000752160891202023
3,20080075;0,31249854726915;0,285;-0,13;0,00074416088561217
3,29985524999999;0,322264126871311;0,44;-0,16;0,000879670219747934
3,40038025;0,332029706473472;0,545;-0,15;0,00138649361656837
3,49967475;0,341795286075633;0,575;-0,12;0,0010027260006261
3,6000615;0,351560865677794;0,565;-0,06;0,00126294480642863
3,7004635;0,361326445279955;0,465;0,01;0,00119897785900843
3,80019924999999;0,371092024882116;0,3;0,08;0,0012763387987716
3,90024349999999;0,380857604484277;0,1;0,16;0,00148781514403844
4,0003605;0,390623184086438;-0,11;0,22;0,00126687085667853
4,10023724999999;0,400388763688599;-0,275;0,26;0,00163070518191498
4,20044274999999;0,41015434329076;-0,41;0,27;0,001549362841219
4,30098799999999;0,419919922892921;-0,48;0,26;0,00166354743954372
4,40288799999999;0,429685502495081;-0,485;0,22;0,00162768988522759
4,50036349999999;0,439451082097242;-0,455;0,15;0,0014375159793561
4,59939224999999;0,449216661699403;-0,32;0,08;0,00187960072810894
4,70045875;0,458982241301564;-0,145;0;0,00195065393994744
4,80012174999999;0,468747820903725;0,0550000000000002;-0,07;0,00183417116946513
