Zeit t / ms;Spannung U_2 / V;Spannung U_B1 / V;Stromstärke I_2 / A;Phasenverschiebung &j_2 / °;f2 f2;n0 n0;f0 f0;f1 f1;Spannung U_A1 / V;Z Z
83210;2,12226883311234;7,47415547068697;0,0184594149419747;77,7084491159324;1753,91154825009;25;10;1320;5,43808330204678;114,969452703863
85216;2,12206267579447;6,54707950157931;0,0154596248337403;79,6349145051384;1809,81748914957;25;10;1320;4,42642632379666;137,264823604459
87232;2,11895611091877;5,76025607069686;0,013076696830622;80,7060169733313;1871,11713438073;25;10;1320;3,63995192275942;162,04062374198
89269;2,11922155519427;5,16640106844213;0,0112583302491977;81,7465435154586;1938,330858808;25;10;1320;3,04826179978033;188,235866979056
91306;2,11981720910082;4,68400469683795;0,00981070843517429;82,2346587148771;2012,02924212408;25;10;1320;2,57629579047127;216,071777395876
93315;2,11975824093221;4,28539379754066;0,0085146931829632;82,8388773656491;2092,83791252117;25;10;1320;2,17048381703251;248,952979911662
95316;2,12001768860545;3,97353117516398;0,00754983443527075;83,4167889032953;2181,4428576709;25;10;1320;1,87203098264959;280,803202610816
97351;2,12124963170297;3,68977641599054;0,00657647321898295;83,6207865562312;2278,59624809803;25;10;1320;1,57924032369997;322,551246096464
99381;2,12209212806607;3,46661217905897;0,00587367006223537;83,712856012873;2385,12282238278;25;10;1320;1,35679770046975;361,288956577595
101389;2,11992334767085;3,2627289191718;0,0051234753829798;83,696632613533;2501,92688839582;25;10;1320;1,15656819945907;413,766669927457
103409;2,12228061292563;3,10406990900656;0,00455521678957215;83,9733225416928;2630;25;10;1320;0,99443451267542;465,901121936497
105421;2,1220685662815;2,96571239333824;0,00406201920231798;83,6558414389135;2770,42937438619;25;10;1320;0,861016840717997;522,417167567928
107449;2,12104337532263;2,84728818351778;0,00357071421427143;84,0506661471843;2924,40712149868;25;10;1320;0,742596795037522;594,010959164764
