Zeit t / ms;Spannung U_2 / V;Spannung U_B1 / V;Stromstärke I_2 / A;Phasenverschiebung &j_2 / °;f2 f2;n0 n0;f0 f0;f1 f1;Spannung U_A1 / V;Z Z
83171;2,12226883311234;5,33768676488233;0,0131719398723195;41,3810998629902;1753,91154825009;25;10;1320;3,84181597685261;161,120446470624
85203;2,12206267579447;5,00902685159503;0,0119268604418766;46,3420060339533;1809,81748914957;25;10;1320;3,38276514112346;177,922990390972
87205;2,11895611091877;4,68461311102635;0,0107121426428143;50,7793299740034;1871,11713438073;25;10;1320;2,95713543822396;197,8088027366
89232;2,11922155519427;4,37958902181472;0,00963068014212911;54,6529001985372;1938,330858808;25;10;1320;2,5814337101696;220,049002138883
91272;2,11981720910082;4,10944035119139;0,00864580823289529;57,8233000064779;2012,02924212408;25;10;1320;2,24955551165114;245,184389012401
93279;2,11975824093221;3,86862378630954;0,00774596669241483;60,5015492809049;2092,83791252117;25;10;1320;1,955581754875;273,659612170545
95285;2,12001768860545;3,64816392175571;0,00692820323027551;62,8824889489568;2181,4428576709;25;10;1320;1,69732141917788;305,998195800781
97295;2,12124963170297;3,44915931786283;0,00620483682299543;64,8919052378642;2278,59624809803;25;10;1320;1,47113901450543;341,870333131327
99333;2,12209212806607;3,27536257534948;0,00556776436283002;66,71843767038;2385,12282238278;25;10;1320;1,27626407925633;381,138997589949
101341;2,11992334767085;3,12951274162608;0,00492442890089805;68,0631611408231;2501,92688839582;25;10;1320;1,10505655963846;430,491208286965
103368;2,12228061292563;2,99470365812713;0,00441588043316392;69,3991349057982;2630;25;10;1320;0,956948274464195;480,601919605202
105383;2,1220685662815;2,87755104211897;0,00396862696659689;70,1294739500897;2770,42937438619;25;10;1320;0,830662386291807;534,711018229354
107384;2,12104337532263;2,77295870867202;0,00353553390593274;71,0722446390628;2924,40712149868;25;10;1320;0,720798168699117;599,921661552573
