Zeit t / s;Frequenz f / Hz;Spannung U_B1 / V;Weg &b_A1 / rad;FFT fft / rad
0;0;-0,255;0;0,0650092837775573
0,100423249999999;0,009765521282669;-0,18;0,02;0,065867825653803
0,199537749999998;0,019531042565338;-0,115;0,02;0,021924011669675
0,299549499999998;0,029296563848007;-0,0499999999999998;0,04;0,00191223429854048
0,40039075;0,039062085130676;0,02;0,04;0,0013190149219356
0,500160749999999;0,048827606413345;0,0899999999999999;0,05;0,000977835936100131
0,60025675;0,058593127696014;0,155;0,06;0,000832004033726259
0,700680750000004;0,068358648978683;0,215;0,06;0,000650754473523868
0,800210749999998;0,078124170261352;0,285;0,07;0,000543861069297575
0,900812000000002;0,087889691544021;0,345;0,07;0,000373415808532526
0,999882249999999;0,09765521282669;0,395;0,08;0,00043082502675836
1,100358;0,107420734109359;0,445;0,08;0,00051226467734125
1,20092;0,117186255392028;0,485;0,08;0,000762100704224295
1,301578;0,126951776674697;0,52;0,09;0,0010260906335063
1,40002875;0,136717297957366;0,545;0,1;0,00123210555402375
1,49999675;0,146482819240035;0,565;0,1;0,00145315929088141
1,6006165;0,156248340522704;0,575;0,11;0,00171071663918866
1,699858;0,166013861805373;0,57;0,11;0,00261095996101921
1,799876;0,175779383088042;0,57;0,11;0,0131021075479879
1,900876;0,185544904370711;0,565;0,11;0,054583156794276
2,000316;0,19531042565338;0,56;0,11;0,0842833943673427
2,10091075;0,205075946936049;0,545;0,11;0,0751722611596109
2,20026;0,214841468218718;0,51;0,1;0,0331048859953208
2,3005325;0,224606989501387;0,455;0,1;0,00222718626630347
2,399813;0,234372510784056;0,4;0,09;0,000383098262205737
2,500156;0,244138032066725;0,345;0,08;0,000539021593809397
2,601156;0,253903553349394;0,275;0,07;0,000740490584994384
2,70029075;0,263669074632063;0,21;0,06;0,000793185181655368
2,80134325;0,273434595914732;0,14;0,05;0,000658234083665936
2,9012325;0,283200117197401;0,0649999999999999;0,04;0,000674697229262807
3,00032075;0,29296563848007;0;0,03;0,000675622714009333
3,1009945;0,302731159762739;-0,0700000000000003;0,02;0,000879396916510959
3,20090325;0,312496681045408;-0,135;0,01;0,000585027307843141
3,30019675;0,322262202328077;-0,2;0;0,000491391275216654
3,40050175;0,332027723610746;-0,255;0;0,000327375697511697
3,5002165;0,341793244893415;-0,305;-0,01;0,000354866332373463
3,600623;0,351558766176084;-0,355;-0,02;0,000402205565938014
3,700212;0,361324287458753;-0,4;-0,02;0,000341190409499064
3,80074325;0,371089808741422;-0,43;-0,02;0,000321590174682514
3,899792;0,380855330024091;-0,455;-0,02;0,000264415502749812
4,000195;0,39062085130676;-0,475;-0,03;0,000229980355588532
4,1009695;0,400386372589429;-0,485;-0,03;0,000165238279299107
4,20094;0,410151893872098;-0,485;-0,03;0,000255355773138758
4,29992225;0,419917415154767;-0,485;-0,03;0,000234742509253667
4,4001895;0,429682936437436;-0,485;-0,03;0,000324303250688442
4,50108;0,439448457720105;-0,48;-0,03;0,000188490056685826
4,60188525;0,449213979002774;-0,465;-0,03;0,000180447764963483
4,70144425;0,458979500285443;-0,425;-0,02;7,88535630874327E-05
