Zeit t / s;Frequenz f / Hz;Spannung U_B1 / V;Weg &b_A1 / rad;zeiliche Ableitung w_1 / rad/s;FFT fft / rad
6,7999245;0,332027406819333;0,01;-2,2;-0,854641574969713;0,00303342762233326
6,89991625;0,33691016280197;0,01;-2,17;1,40070533754885;0,00321382336646506
6,99987525;0,341792918784607;0,005;-1,92;3,52357116187314;0,00324348976027291
7,1008335;0,346675674767245;0,01;-1,46;5,30193845671551;0,00346304778033083
7,20023625;0,351558430749882;0,005;-0,86;6,4446261449309;0,00346764138659591
7,29947;0,356441186732519;0,005;-0,18;7,01093443832221;0,00346762811612783
7,39987125;0,361323942715156;0,005;0,54;6,77032741893983;0,00363537582961268
7,5003565;0,366206698697794;0,005;1,18;5,78733870535221;0,00361200623542258
7,60017525;0,371089454680431;0,005;1,7;4,31339890473243;0,00407410680123095
7,699552;0,375972210663068;0,005;2,04;2,31392405313989;0,00404509830774751
7,800082;0,380854966645706;0,005;2,16;0,0945279823496622;0,00450899301085082
7,90013825;0,385737722628343;0,005;2,06;-2,08756479246864;0,0044826033730177
8,000722;0,39062047861098;0,005;1,74;-4,12061685615669;0,00483326866941632
8,099813;0,395503234593617;0,005;1,24;-5,65400045264863;0,00502503697977126
8,200282;0,400385990576255;0,005;0,61;-6,60340760757852;0,00520136281379364
8,30118075;0,405268746558892;0,005;-0,09;-6,86904073990815;0,00542126466643135
8,39968025;0,410151502541529;0,005;-0,76;-6,39071927976116;0,00584467402044332
8,5001645;0,415034258524166;0,01;-1,36;-5,27436670790967;0,00594845312946248
8,6006535;0,419917014506804;0,01;-1,82;-3,5922438139344;0,00624891077197573
8,69994125;0,424799770489441;0,01;-2,08;-1,56331513382506;0,00664840719235018
8,80001375;0,429682526472078;0,01;-2,13;0,59883529667875;0,00725121738025977
8,9001385;0,434565282454715;0,005;-1,96;2,73888260943089;0,0077752651658448
9,0005825;0,439448038437353;0,005;-1,58;4,5069405450979;0,00828454134599218
9,10012025;0,44433079441999;0,005;-1,06;5,83475770618196;0,00887904197165051
9,19943725;0,449213550402627;0,01;-0,42;6,69521216277586;0,00949898605826516
9,30015725;0,454096306385264;0,01;0,28;6,74883019444692;0,0103617212307528
9,4009585;0,458979062367902;0,005;0,94;5,98630079727255;0,0114471144646219
9,500353;0,463861818350539;0,005;1,48;4,71474664188908;0,0125528344568217
9,600591;0,468744574333176;0,005;1,88;2,94765563064186;0,0138684827576643
9,699759;0,473627330315813;0,005;2,07;0,868258766673144;0,0160464397766305
9,8006985;0,47851008629845;0,005;2,05;-1,30879213279614;0,0182690170575988
9,90043875;0,483392842281088;0,005;1,81;-3,32962886905907;0,0217752360697812
10,001298;0,488275598263725;0,005;1,38;-4,99686389217456;0,0276697842579968
10,09937;0,493158354246362;0,005;0,82;-6,09536659725489;0,0367102724951018
10,200993;0,498041110228999;0,005;0,16;-6,61331518122539;0,0550630725404751
10,30055275;0,502923866211637;0,01;-0,51;-6,42791301760992;0,104685255566483
